Wealth_Score,Rank_Progression_Years,Mission_Success,Peer_Reviews,Attendance_Records,Disciplinary_Actions,Sentiment_Score,Proximity_to_Enemy,Propaganda_Influence,Loyalty_History,Betrayal
3,14.416666666666666,73,4,51,3,0.23374079203674425,0,4,1,0
9,10.75,90,3,51,1,0.6377741418455916,0,2,0,0
4,22.5,66,4,75,1,0.8200675020556494,1,4,1,0
6,26.416666666666668,61,5,62,1,0.041578959846593766,1,1,1,0
3,23.25,95,5,96,0,0.4981299435480424,1,2,0,0
6,5.416666666666667,81,5,80,3,0.6893104121026903,0,1,0,0
8,20.583333333333332,64,4,83,3,0.2523119270696871,0,1,1,0
4,19.416666666666668,65,3,88,2,0.3077709052931491,1,0,1,0
4,21.833333333333332,71,3,52,1,0.6136379029893838,0,1,1,0
3,27.0,77,3,57,0,0.8979352934437369,1,1,1,0
4,10.25,69,4,72,0,0.8099244203028994,1,2,0,0
7,22.166666666666668,82,4,63,1,0.5831302190995835,1,2,1,1
4,26.166666666666668,59,4,76,4,0.7302217177572492,0,3,0,0
6,18.166666666666668,89,4,78,1,0.3648224702077987,1,0,0,0
6,20.0,81,4,88,1,0.6409655280987577,1,1,1,0
9,29.333333333333332,99,3,88,0,0.46618159112755697,1,0,0,0
6,6.416666666666667,82,4,50,1,0.1899361364575609,0,4,0,0
9,7.166666666666667,51,4,66,2,0.7017382738772572,0,1,1,1
6,9.5,82,3,90,2,0.556464637348822,0,0,0,0
7,16.916666666666668,82,4,79,1,0.3586215819535914,1,3,0,0
10,21.916666666666668,90,3,62,0,0.9113391900786307,0,3,1,0
9,19.75,62,3,70,2,0.020934117826733267,1,1,1,0
5,25.416666666666668,79,5,68,1,0.315773151249496,0,4,1,0
8,26.416666666666668,82,5,68,1,0.05688139777764656,1,3,1,0
3,9.083333333333334,62,5,74,4,0.7665273162216272,0,3,1,0
6,29.083333333333332,75,5,71,2,0.7021074541137926,1,4,1,1
4,24.75,71,4,80,2,0.33135221873631704,0,0,1,0
10,28.833333333333332,88,5,66,2,0.675662902207073,0,3,0,0
6,29.833333333333332,51,3,72,2,0.39593722619594984,0,2,0,0
4,26.583333333333332,87,4,81,2,0.7562537914224343,1,3,1,1
8,21.666666666666668,88,5,59,3,0.4541836627367061,0,0,0,1
8,14.75,75,3,59,3,0.41227972783166555,0,0,0,1
8,28.833333333333332,95,4,85,1,0.934729915488301,0,1,1,0
4,3.4166666666666665,99,4,57,2,0.25087909989070023,0,2,0,0
6,21.5,64,5,69,2,0.12044733999656543,1,0,1,0
8,9.75,83,4,81,3,0.5845431132594582,0,4,0,0
7,5.166666666666667,91,3,99,2,0.9693218122841789,1,2,1,0
9,7.666666666666667,93,4,63,2,0.37783921372718665,1,2,0,0
4,12.0,98,3,99,1,0.06203676362878152,1,4,0,1
4,24.666666666666668,89,4,77,2,0.33930526730956745,1,3,0,0
6,12.416666666666666,60,5,95,1,0.5059316543195584,0,4,1,0
4,16.25,52,3,73,1,0.1619230066322137,1,4,0,0
4,28.416666666666668,55,4,64,1,0.658102218056492,1,3,0,0
8,23.666666666666668,58,4,71,3,0.9977493890102006,1,3,1,0
6,29.25,55,4,79,1,0.4517394759814438,1,3,1,0
8,6.666666666666667,58,3,53,2,0.35472855673021264,0,3,0,1
9,3.75,88,3,62,4,0.40070416683446664,0,3,0,0
10,22.75,80,3,72,1,0.11514617839520114,1,4,0,0
9,5.333333333333333,81,5,57,2,0.8832736014262238,1,1,0,0
10,18.0,90,5,67,2,0.414825655521352,1,1,1,0
8,11.416666666666666,99,3,61,0,0.3872744114248413,0,0,0,0
9,20.5,61,4,80,3,0.6596902729304743,0,1,0,0
6,4.5,57,5,63,0,0.4420334209311235,0,1,1,0
3,20.916666666666668,57,3,83,2,0.648233468807846,0,4,0,0
8,10.166666666666666,99,4,67,2,0.061446290130787506,0,3,0,0
10,21.666666666666668,77,5,83,2,0.8137233437222274,1,3,0,0
7,13.5,69,4,60,3,0.9405039528794026,0,4,1,0
10,16.166666666666668,96,4,90,1,0.648765386159386,0,1,1,0
7,28.916666666666668,56,4,61,0,0.9545659288588108,1,4,0,0
4,8.833333333333334,60,4,98,3,0.1514323143699633,0,0,0,0
9,1.5833333333333333,69,5,64,2,0.4774161894803537,0,3,1,0
7,16.25,65,5,80,3,0.6018067339454473,0,2,0,0
10,24.333333333333332,53,5,98,3,0.5817366474211867,1,0,0,0
4,17.166666666666668,55,3,78,3,0.40146177908904324,0,0,1,1
3,17.166666666666668,71,5,75,2,0.3380844093662614,1,4,1,0
6,13.833333333333334,75,4,67,1,0.1268240225504188,1,1,1,0
6,8.666666666666666,52,5,81,3,0.3917424505622782,0,3,0,0
6,14.25,90,4,71,2,0.16266081510548513,0,2,0,0
7,6.0,91,3,87,1,0.7343656764922184,0,0,0,0
3,11.083333333333334,63,4,66,3,0.20883093549458998,0,2,0,0
7,5.166666666666667,60,4,72,4,0.05856530528453385,1,1,1,0
9,24.0,67,4,73,2,0.5523661378172343,0,1,0,0
7,1.3333333333333333,61,3,99,0,0.5952297327194016,1,2,0,0
3,8.583333333333334,72,5,57,2,0.8719130612805055,1,3,1,0
3,15.083333333333334,61,5,90,3,0.5769816124176819,1,1,1,0
9,27.333333333333332,62,3,55,4,0.3454808537234457,1,2,0,0
3,2.75,74,4,54,1,0.8030118815263205,1,0,1,0
10,28.083333333333332,94,5,93,0,0.5402788931874211,0,2,1,0
3,1.0,100,3,78,3,0.07928028463119174,1,2,0,0
6,12.0,68,5,77,2,0.5658505603132467,1,4,0,0
10,20.333333333333332,95,3,60,2,0.9080185454216624,0,1,0,0
10,1.9166666666666667,85,4,50,5,0.39631262549822055,0,3,0,0
9,29.75,94,5,92,0,0.29632580189980007,1,3,1,0
5,4.75,57,3,68,2,0.14346945701802005,1,4,1,0
5,3.75,78,5,58,0,0.15144552193535732,0,3,0,1
3,7.416666666666667,81,5,76,1,0.4327714843418189,1,2,0,0
10,19.083333333333332,100,5,83,3,0.5956798241615295,0,4,1,0
5,26.0,93,5,93,2,0.08061540516960175,0,0,0,0
5,7.0,67,3,53,6,0.9395685890251657,1,1,0,0
3,24.416666666666668,55,4,85,2,0.7551336174451959,0,1,0,0
5,21.666666666666668,67,3,67,1,0.5866239182836627,1,1,0,0
7,4.833333333333333,68,3,64,1,0.8284386709389908,1,2,1,1
4,11.0,71,3,100,1,0.08018675681211329,1,0,0,0
9,18.75,86,4,62,1,0.4768388777331244,0,4,1,0
4,20.833333333333332,81,5,68,0,0.6300931268616634,1,4,0,1
3,5.583333333333333,90,5,98,1,0.8286529061182892,0,1,0,0
6,9.833333333333334,52,5,55,2,0.7834695600492677,1,0,1,1
9,27.5,77,4,97,3,0.27706924971339963,1,0,0,1
3,4.916666666666667,59,5,61,2,0.9408801695592043,0,0,1,0
10,6.0,100,4,100,3,0.12434584143087035,1,3,0,0
6,29.0,84,5,86,0,0.8751336186211521,1,3,0,0
4,3.0833333333333335,78,5,66,1,0.9709402496046186,0,1,0,0
3,25.25,64,3,72,2,0.17715352322262556,0,0,0,0
10,22.333333333333332,82,4,75,2,0.7220660642037853,0,0,0,0
9,1.5833333333333333,56,3,78,0,0.040285518777998464,1,4,1,0
9,10.333333333333334,61,3,82,3,0.40542282513915495,0,4,1,0
8,22.0,98,3,76,3,0.516283299197674,0,1,0,0
10,15.916666666666666,79,4,74,2,0.5806452259096341,1,0,0,0
7,18.166666666666668,70,4,59,0,0.9359372482485595,0,1,1,0
5,26.166666666666668,80,5,96,3,0.6722506872941947,1,4,1,0
6,11.5,73,3,72,2,0.481277951219237,1,4,0,0
10,5.583333333333333,69,5,70,3,0.8096750362658893,0,3,0,0
8,18.75,86,3,70,3,0.9505328209544089,1,1,1,0
5,2.0833333333333335,53,4,92,3,0.022066148682290843,0,1,0,0
5,3.25,77,4,62,2,0.9825212722560387,0,0,1,0
3,7.416666666666667,93,4,86,1,0.08613213906368034,0,0,0,0
5,18.916666666666668,69,3,82,2,0.8143867792687614,0,3,1,0
7,13.75,73,4,73,2,0.2803347525514125,1,2,1,0
9,2.0833333333333335,99,3,93,3,0.13217965775387175,1,2,0,0
8,16.5,98,5,60,1,0.4398556397138349,0,2,1,0
5,26.916666666666668,100,3,66,1,0.6439565794476135,0,1,0,0
3,1.5,81,5,53,4,0.380951845023475,1,1,0,0
7,1.1666666666666667,90,3,96,3,0.05456540828269896,0,4,0,0
4,10.166666666666666,85,5,74,4,0.5994611396587166,1,1,0,0
9,20.75,83,4,79,3,0.9024032761106747,0,1,1,0
9,20.833333333333332,85,5,58,2,0.3832153659472517,1,1,0,1
8,23.75,51,4,70,2,0.21633277763082703,1,3,0,0
9,25.416666666666668,64,4,69,4,0.4425773459328154,1,1,0,0
5,19.833333333333332,83,5,68,2,0.04836271104878087,0,0,0,0
3,2.1666666666666665,85,3,68,2,0.8204875844802748,0,0,1,0
9,16.916666666666668,55,3,61,1,0.8263408109501867,0,4,0,1
9,10.833333333333334,88,3,86,2,0.5880004634296284,0,3,1,0
4,3.25,91,3,91,3,0.3531028889383895,0,0,1,1
4,17.75,100,3,66,1,0.7997833644457834,1,3,1,0
6,4.166666666666667,100,4,86,1,0.5546870247883672,1,3,0,0
7,23.666666666666668,61,3,97,1,0.8259323085500162,1,4,0,0
5,20.166666666666668,52,4,88,1,0.6314587925830206,1,3,0,0
9,8.083333333333334,94,4,77,1,0.7844054732127973,1,1,0,0
10,11.416666666666666,67,4,90,2,0.59856299321776,1,3,1,0
9,25.916666666666668,89,5,84,4,0.4141410682156662,1,4,1,0
3,3.0,70,5,96,2,0.9579458599261376,0,4,0,0
6,13.0,64,4,97,1,0.5411138248788447,1,4,0,1
7,2.0,82,5,67,0,0.6050895185405384,0,0,0,0
10,18.583333333333332,84,3,63,3,0.22048763941474925,1,1,0,0
6,3.0,75,3,84,2,0.6256507894272765,1,0,0,0
8,6.583333333333333,57,4,93,3,0.5716076494829438,0,2,0,0
7,6.5,85,3,90,2,0.18483839794702495,1,1,0,0
9,20.333333333333332,97,4,56,3,0.059587097353143714,0,3,1,0
9,10.0,79,4,90,1,0.6043593197147711,1,4,1,1
7,13.083333333333334,72,3,62,3,0.7636922693503205,0,2,1,0
9,10.166666666666666,91,5,67,1,0.5234013709220082,1,1,1,0
5,19.916666666666668,93,3,86,4,0.2267726253196457,0,0,0,0
7,10.166666666666666,63,3,62,2,0.6665219766930349,0,4,0,0
6,3.75,63,4,85,1,0.08010572660960225,1,0,0,0
7,10.166666666666666,51,4,80,1,0.4418337048019546,1,1,0,0
10,22.916666666666668,86,4,51,1,0.1633667583984202,0,1,0,0
9,20.583333333333332,54,4,65,3,0.18445905105988336,1,2,1,1
5,7.833333333333333,87,5,58,1,0.20229394915820365,0,3,0,0
5,4.416666666666667,94,5,58,2,0.3867070570439779,1,0,1,0
8,9.333333333333334,90,5,87,1,0.051150205620397626,0,2,0,0
6,1.4166666666666667,96,4,60,2,0.3977934409290982,1,4,1,0
4,15.916666666666666,63,4,71,3,0.5117074471147008,0,3,0,0
4,24.416666666666668,88,4,82,3,0.4832942849663252,1,2,1,0
7,27.583333333333332,74,5,85,3,0.38278410040304056,0,0,0,0
8,19.75,69,4,94,1,0.8391466080707525,0,1,0,0
3,27.166666666666668,51,3,72,0,0.1453266924205041,1,4,0,1
7,20.0,88,3,94,3,0.505696743781374,1,0,0,0
8,25.0,55,4,94,1,0.062041416956554296,0,3,1,1
6,13.416666666666666,66,3,83,2,0.07115567887790974,0,3,0,0
6,24.0,74,3,58,0,0.5738658496770963,0,1,1,0
6,17.416666666666668,77,5,73,1,0.566018424887821,0,1,0,0
6,6.75,51,4,57,0,0.878033512844457,1,4,1,0
6,10.25,84,4,56,4,0.5578736756600732,0,4,0,0
8,1.25,86,5,85,1,0.9597910204048502,0,1,0,0
8,28.5,54,3,67,2,0.04869484839992977,0,1,1,0
5,27.416666666666668,50,3,52,0,0.09800768478074107,1,3,0,1
10,8.833333333333334,89,4,77,2,0.04406586157038139,0,1,0,0
4,13.583333333333334,61,3,55,1,0.18527685033354002,1,2,1,0
9,26.833333333333332,85,5,93,4,0.5412701109416781,1,0,0,0
6,12.333333333333334,94,5,93,4,0.645572181427428,1,1,1,0
3,21.5,72,4,70,1,0.0455851579486688,1,4,0,0
9,21.166666666666668,96,5,77,4,0.9459708898455993,1,2,1,0
8,3.5,80,5,89,6,0.842165376650381,1,4,1,0
3,4.25,60,4,50,3,0.2966124821570931,1,2,1,0
3,20.0,59,5,85,3,0.07718753022646796,0,1,1,1
3,3.9166666666666665,52,5,70,1,0.16988707321905727,0,0,0,0
5,19.5,63,5,92,2,0.12694441375497267,1,4,0,0
8,1.4166666666666667,65,3,84,0,0.12328377929894685,0,2,1,0
3,27.75,59,4,62,0,0.5185616886657339,0,3,0,1
6,19.25,78,4,98,6,0.2458474424934003,1,1,0,0
7,7.166666666666667,59,4,59,1,0.35813971652914445,0,0,0,0
3,1.25,61,3,93,3,0.9895053333843224,1,1,1,0
5,28.833333333333332,79,3,96,3,0.6843142489253448,0,3,0,0
9,12.083333333333334,90,4,59,3,0.9489806670470013,1,0,0,0
8,10.75,50,3,95,6,0.1425565550331156,1,3,1,0
10,8.75,54,4,62,1,0.38213947483256927,0,1,0,0
5,6.083333333333333,69,3,86,0,0.5547318032823543,0,2,1,1
3,17.083333333333332,57,5,87,2,0.07675806188873802,1,1,1,0
8,28.833333333333332,92,5,73,1,0.004187443627957865,1,1,1,1
7,17.833333333333332,61,4,51,0,0.6704343337969175,1,1,0,0
3,3.0833333333333335,50,3,71,1,0.6418195168014353,0,4,0,0
5,15.333333333333334,69,3,66,3,0.41078880999961176,0,3,1,0
4,25.916666666666668,77,5,85,2,0.48964407603203264,0,3,1,0
6,12.0,92,5,63,1,0.4154430005920896,0,3,1,0
10,28.083333333333332,86,3,59,2,0.024005044844888856,1,4,1,1
9,10.75,96,3,84,1,0.3353716062174624,1,2,1,1
5,27.916666666666668,86,3,74,0,0.17708225539728983,1,1,1,1
8,23.833333333333332,61,3,52,3,0.09842418910136874,1,2,0,0
10,18.583333333333332,86,3,96,2,0.9567204338893498,0,4,1,1
10,19.666666666666668,98,3,87,3,0.5993597250421656,1,3,1,0
10,2.5833333333333335,98,4,66,0,0.7286562842366027,1,1,1,0
3,10.333333333333334,93,3,61,3,0.3153637432661175,0,0,0,0
6,12.583333333333334,77,5,73,2,0.3931471294940152,0,0,0,0
3,4.833333333333333,96,4,78,2,0.23692399389672347,1,2,0,0
8,1.0,64,3,92,2,0.09696567096542474,0,3,0,0
3,8.416666666666666,55,5,74,3,0.1790316374415838,1,0,1,1
4,12.75,93,4,85,2,0.7975140452964858,0,2,0,0
6,27.583333333333332,69,5,75,2,0.6775458051837758,0,4,1,0
6,4.083333333333333,99,3,87,5,0.5469288759854769,1,2,1,1
8,25.333333333333332,63,3,50,3,0.47508987286676807,0,2,1,0
9,12.5,51,3,69,2,0.9224342836561245,1,2,1,1
4,28.666666666666668,58,3,77,3,0.0727349477786684,0,1,1,0
5,22.5,86,4,65,2,0.28060081323791597,0,2,1,0
3,14.333333333333334,69,4,96,1,0.34993785357071405,0,2,0,0
7,15.75,75,5,66,2,0.7824258122127878,0,1,0,0
3,1.75,78,3,89,4,0.9925146201619713,0,1,0,0
10,22.666666666666668,50,5,77,4,0.24067051475715306,1,4,0,0
3,12.416666666666666,84,4,61,1,0.8743073341370806,0,3,0,0
5,15.25,55,3,76,2,0.8306227604317913,1,0,1,1
3,2.0,86,3,91,1,0.22465739764176662,0,0,0,0
4,14.916666666666666,54,4,96,6,0.3993325801992226,1,2,0,0
4,11.75,82,4,79,5,0.4096728692925191,0,4,0,0
6,7.916666666666667,98,4,90,2,0.9782206685265583,1,2,1,0
8,27.666666666666668,100,4,83,3,0.18089190137889832,1,0,1,0
9,27.5,63,4,86,3,0.799157971104782,0,1,1,1
7,9.333333333333334,61,3,55,2,0.3341927141731099,0,3,0,0
10,28.333333333333332,91,4,56,0,0.7308703457761604,0,4,0,0
3,23.666666666666668,69,3,81,2,0.42001100429566285,1,1,0,0
3,23.0,99,3,81,2,0.57835976311654,1,3,0,0
5,4.083333333333333,73,4,74,2,0.8326117733261311,0,4,0,0
8,8.75,92,4,82,1,0.8041655649838841,0,4,1,0
4,8.833333333333334,83,3,56,4,0.8664231835397002,1,0,0,0
7,26.333333333333332,74,4,61,1,0.05961732534465902,1,1,1,0
6,6.666666666666667,99,4,65,2,0.6920505530397448,0,4,0,0
4,27.416666666666668,78,4,65,3,0.13998737672176287,1,4,1,0
10,20.583333333333332,88,5,92,3,0.415818568018411,0,3,1,0
8,28.75,80,3,85,2,0.5485884150546885,0,0,1,0
10,12.333333333333334,96,5,62,1,0.40273948474683074,0,2,1,1
9,7.25,92,4,56,1,0.5196116758030075,1,0,0,0
6,3.8333333333333335,99,5,85,2,0.9965263087986191,1,2,0,0
9,1.0,72,4,96,2,0.13521731371285473,1,1,0,0
5,25.583333333333332,93,5,100,1,0.6754560453364256,1,1,1,1
10,27.583333333333332,87,4,58,3,0.3960009663856152,0,4,0,1
5,5.916666666666667,69,5,81,2,0.13300979890732878,1,1,0,0
3,27.583333333333332,72,5,60,2,0.15873676337430953,0,4,0,0
9,28.25,94,5,57,3,0.9492731062456169,0,0,0,0
8,23.166666666666668,65,3,82,1,0.879601496711762,0,1,1,0
10,20.0,99,5,72,0,0.9070419604150218,1,0,1,0
7,23.416666666666668,91,3,74,3,0.9915327758273865,0,0,0,0
6,27.25,57,4,57,2,0.20831539000851795,0,1,0,0
4,24.75,99,5,94,3,0.35543933736406175,1,0,0,0
8,25.166666666666668,70,4,71,3,0.6692190299248667,0,1,1,0
8,18.666666666666668,50,4,53,3,0.48380253986064725,1,1,1,0
5,14.666666666666666,57,5,89,4,0.4183895333783335,1,1,1,0
9,1.3333333333333333,78,3,52,2,0.35781124933559305,1,2,0,1
10,29.166666666666668,81,5,78,2,0.5937806319434522,0,0,1,0
10,7.416666666666667,87,4,90,2,0.575593428640082,1,3,1,0
3,6.083333333333333,54,4,78,1,0.16145783406424008,1,1,1,0
3,11.916666666666666,96,5,83,2,0.47173983751843906,1,0,1,0
6,8.333333333333334,71,3,83,1,0.5534717762098499,1,4,1,0
5,20.666666666666668,96,3,77,4,0.5702869387313905,0,1,0,0
8,4.416666666666667,83,4,62,2,0.2101071929123518,1,1,0,0
10,8.333333333333334,50,4,64,2,0.7422713922522868,0,3,0,0
7,25.583333333333332,75,3,72,1,0.025199094821069634,1,2,0,1
5,28.25,92,5,93,0,0.35483185554316266,0,2,1,0
6,25.5,59,4,75,0,0.7802126485356335,1,1,0,0
6,9.583333333333334,79,3,53,2,0.5638929210554023,0,0,0,0
5,2.0833333333333335,99,4,75,0,0.26116243251086024,1,4,0,1
6,24.916666666666668,67,5,89,2,0.6949531193430477,0,4,1,0
5,15.833333333333334,66,3,58,4,0.5673909441560734,0,0,0,0
4,11.333333333333334,75,4,54,4,0.7962436094563872,0,1,1,1
5,2.8333333333333335,57,5,81,2,0.7350251861898234,1,4,1,1
9,6.166666666666667,96,4,69,1,0.6101079220362347,0,2,1,1
5,12.833333333333334,89,5,99,3,0.488177675310814,0,0,0,0
6,13.666666666666666,98,5,60,4,0.1331821256675234,0,3,1,0
10,13.0,61,3,64,1,0.26133301788538377,0,1,0,1
9,19.666666666666668,76,5,81,3,0.41909947291708527,1,0,0,0
6,26.666666666666668,57,4,77,1,0.5992992870063887,0,4,0,0
3,9.583333333333334,74,5,71,3,0.5137078552153048,0,1,1,0
3,9.583333333333334,95,5,90,6,0.2881845259595295,0,2,1,0
10,4.166666666666667,53,3,66,0,0.006464357789710551,1,1,0,1
10,17.416666666666668,82,5,75,4,0.49623922190081393,0,1,1,0
9,12.083333333333334,50,5,93,2,0.2856259885622431,0,2,1,0
4,6.5,68,4,56,5,0.7346083007105351,0,2,1,1
10,15.833333333333334,80,3,91,2,0.02394626527048349,0,1,0,0
3,4.416666666666667,65,3,75,3,0.5848278113057909,1,2,1,0
5,2.1666666666666665,63,3,74,0,0.9414742375060654,0,0,1,0
6,10.166666666666666,97,5,59,1,0.1744092671114995,0,2,0,0
3,14.0,54,3,94,0,0.47164949075059537,1,2,1,0
3,25.0,90,5,68,5,0.09142199181713817,1,1,0,0
4,20.166666666666668,75,5,60,3,0.6256819122613526,1,0,1,0
9,14.0,77,4,62,3,0.5505316805962256,0,3,1,0
9,4.083333333333333,51,4,57,4,0.40736552421283234,1,3,1,0
8,9.0,99,4,89,0,0.5213770214737412,0,4,1,0
4,25.0,55,4,53,2,0.8965746584690102,1,2,1,0
5,22.083333333333332,58,4,96,0,0.19629430231106704,0,2,1,0
9,17.25,82,5,80,1,0.022564511705347234,1,0,0,0
6,8.083333333333334,90,5,77,1,0.861664884699101,0,3,1,0
10,27.75,74,3,60,2,0.5771170823879065,1,4,1,0
4,1.75,97,5,92,1,0.8906584554618424,0,0,1,0
10,1.3333333333333333,62,5,50,0,0.5969452234131726,0,2,0,1
3,11.166666666666666,58,4,98,1,0.8101610899597025,0,3,0,0
6,28.416666666666668,62,5,96,1,0.42967336335514794,0,4,0,0
6,10.75,80,4,87,5,0.7498599312882688,0,1,1,0
3,25.416666666666668,90,3,73,3,0.913041466889856,0,3,1,1
4,14.166666666666666,60,3,96,5,0.5721229637222063,0,4,0,0
3,26.166666666666668,53,5,80,2,0.18078515056237954,0,0,0,0
10,19.916666666666668,83,3,90,1,0.26879761503019817,1,1,0,0
8,18.916666666666668,87,5,95,3,0.19864457689740578,0,4,1,0
6,16.25,95,3,99,1,0.24685702759573291,0,4,0,0
7,2.1666666666666665,53,4,75,1,0.3064154493510364,1,2,1,0
7,14.0,87,4,98,1,0.5551337867531885,0,3,1,0
10,12.25,68,4,99,1,0.5879916294638328,1,2,1,0
5,22.666666666666668,55,4,54,1,0.4264997472418611,0,1,0,0
9,14.0,83,5,69,1,0.6154207798208354,1,4,1,0
3,4.833333333333333,67,3,90,2,0.08157492561136592,1,2,0,0
3,27.916666666666668,62,5,60,0,0.08778823705815997,0,3,0,0
5,28.583333333333332,90,4,82,1,0.17182946035765845,1,1,0,0
5,15.333333333333334,72,5,99,3,0.5180774980403448,0,0,0,0
10,11.75,68,3,87,1,0.21399467869831357,0,2,1,1
10,8.833333333333334,94,5,76,1,0.28328440349257733,0,1,1,0
5,10.5,60,3,83,3,0.40031283617299407,0,0,1,1
6,21.166666666666668,50,5,64,1,0.8118661240103798,1,2,1,0
10,25.25,73,3,81,0,0.013862135912860118,0,1,0,1
8,24.416666666666668,56,3,70,2,0.6493788202366224,1,1,0,0
10,25.833333333333332,74,4,95,1,0.6688765310406853,1,2,0,0
3,24.5,70,3,54,2,0.7986557803566365,0,1,0,1
10,6.666666666666667,64,4,55,3,0.9327529390603132,0,4,1,0
6,13.25,50,4,87,1,0.020137848949289827,0,2,0,0
5,1.8333333333333333,61,4,71,2,0.15378370551321618,0,1,1,0
3,22.083333333333332,56,5,67,2,0.886171294055993,1,0,0,0
10,28.416666666666668,64,5,63,1,0.45851856218701537,0,0,0,0
6,4.083333333333333,70,5,59,2,0.5645906389334635,1,4,0,0
8,12.083333333333334,68,5,95,1,0.6630272037231474,0,2,0,0
10,17.583333333333332,78,3,62,2,0.6790666044956374,0,1,1,0
6,2.8333333333333335,74,3,80,0,0.9317404033165082,0,1,1,0
8,26.166666666666668,82,5,79,2,0.9969494174116696,0,0,1,0
